Month,Price,Change
2008-09,826.02,-14.28%
2008-10,635.75,-23.03%
2008-11,581.25,-8.57%
2008-12,587.24,1.03%
2009-01,658.55,12.14%
2009-02,655.66,-0.44%
2009-03,660.48,0.74%
2009-04,799.7,21.08%
2009-05,872.61,9.12%
2009-06,788.57,-9.63%
2009-07,698.48,-11.42%
2009-08,746.05,6.81%
2009-09,703.85,-5.66%
2009-10,724.66,2.96%
2009-11,763.33,5.34%
2009-12,821.81,7.66%
2010-01,830.88,1.10%
2010-02,830,-0.11%
2010-03,862.83,3.96%
2010-04,862.71,-0.01%
2010-05,855.31,-0.86%
2010-06,825.68,-3.46%
2010-07,844.43,2.27%
2010-08,943.73,11.76%
2010-09,948.88,0.55%
2010-10,"1,025.83",8.11%
2010-11,"1,131.36",10.29%
2010-12,"1,234.64",9.13%
2011-01,"1,303.57",5.58%
2011-02,"1,327.21",1.81%
2011-03,"1,241.74",-6.44%
2011-04,"1,219.61",-1.78%
2011-05,"1,230.12",0.86%
2011-06,"1,192.38",-3.07%
2011-07,"1,183.45",-0.75%
2011-08,"1,205.48",1.86%
2011-09,"1,137.25",-5.66%
2011-10,"1,044.75",-8.13%
2011-11,"1,113.38",6.57%
2011-12,"1,121.50",0.73%
2012-01,"1,123.50",0.18%
2012-02,"1,146.25",2.02%
2012-03,"1,195.34",4.28%
2012-04,"1,233.61",3.20%
2012-05,"1,125.00",-8.80%
2012-06,"1,027.74",-8.65%
2012-07,"1,052.84",2.44%
2012-08,"1,022.38",-2.89%
2012-09,"1,001.38",-2.05%
2012-10,886,-11.52%
2012-11,863.18,-2.58%
2012-12,843.55,-2.27%
2013-01,884.52,4.86%
2013-02,919.58,3.96%
2013-03,891.5,-3.05%
2013-04,874.17,-1.94%
2013-05,879.47,0.61%
2013-06,876.88,-0.29%
2013-07,827.09,-5.68%
2013-08,819.29,-0.94%
2013-09,826.25,0.85%
2013-10,859.66,4.04%
2013-11,904.05,5.16%
2013-12,886.25,-1.97%
2014-01,862.63,-2.67%
2014-02,904.34,4.84%
2014-03,953.81,5.47%
2014-04,926.63,-2.85%
2014-05,898.42,-3.04%
2014-06,861.88,-4.07%
2014-07,853.69,-0.95%
2014-08,778.69,-8.79%
2014-09,760.75,-2.30%
2014-10,764.4,0.48%
2014-11,764.75,0.05%
2014-12,719.64,-5.90%
2015-01,719.64,0.00%
2015-02,723.04,0.47%
2015-03,698.86,-3.34%
2015-04,682.75,-2.31%
2015-05,697.35,2.14%
2015-06,705.91,1.23%
2015-07,680,-3.67%
2015-08,601.38,-11.56%
2015-09,599.5,-0.31%
2015-10,636.67,6.20%
2015-11,608.21,-4.47%
2015-12,607.38,-0.14%
2016-01,611.63,0.70%
2016-02,679.17,11.04%
2016-03,715.95,5.42%
2016-04,775,8.25%
2016-05,753.42,-2.78%
2016-06,718.18,-4.68%
2016-07,678.16,-5.57%
2016-08,771.02,13.69%
2016-09,797.85,3.48%
2016-10,749.75,-6.03%
2016-11,766.93,2.29%
2016-12,811.38,5.80%
2017-01,825,1.68%
2017-02,808.61,-1.99%
2017-03,778.7,-3.70%
2017-04,752.06,-3.42%
2017-05,762.75,1.42%
2017-06,735.14,-3.62%
2017-07,720.48,-1.99%
2017-08,717.95,-0.35%
2017-09,755.28,5.20%
2017-10,746.79,-1.12%
2017-11,728.86,-2.40%
2017-12,679.17,-6.82%
2018-01,703.45,3.57%
2018-02,709.44,0.85%
2018-03,706.19,-0.46%
2018-04,701.18,-0.71%
2018-05,687.29,-1.98%
2018-06,656.5,-4.48%
2018-07,616.14,-6.15%
2018-08,614.1,-0.33%
2018-09,605.15,-1.46%
2018-10,590.32,-2.45%
2018-11,539.1,-8.68%
2018-12,535.02,-0.76%
2019-01,584.58,9.26%
2019-02,602.97,3.15%
2019-03,573.02,-4.97%
2019-04,588.45,2.69%
2019-05,563.2,-4.29%
2019-06,552.19,-1.95%
2019-07,543.88,-1.50%
2019-08,586.12,7.77%
2019-09,580.3,-0.99%
2019-10,591.35,1.90%
2019-11,683.38,15.56%
2019-12,769.93,12.66%
2020-01,834.85,8.43%
2020-02,728.81,-12.70%
2020-03,636.25,-12.70%
2020-04,608.88,-4.30%
2020-05,576.56,-5.31%
2020-06,656.49,13.86%
2020-07,694.16,5.74%
2020-08,760.3,9.53%
2020-09,796.22,4.72%
2020-10,819.27,2.89%
2020-11,917.81,12.03%
2020-12,"1,016.37",10.74%
2021-01,990.27,-2.57%
2021-02,"1,019.86",2.99%
2021-03,"1,030.48",1.04%
2021-04,"1,078.05",4.62%
2021-05,"1,136.46",5.42%
2021-06,"1,004.42",-11.62%
2021-07,"1,062.99",5.83%
2021-08,"1,141.82",7.42%
2021-09,"1,181.38",3.46%
2021-10,"1,310.25",10.91%
2021-11,"1,340.65",2.32%
2021-12,"1,270.29",-5.25%
2022-01,"1,344.79",5.86%
2022-02,"1,522.36",13.20%
2022-03,"1,776.96",16.72%
2022-04,"1,682.74",-5.30%
2022-05,"1,716.92",2.03%
2022-06,"1,501.10",-12.57%
2022-07,"1,056.64",-29.61%
2022-08,"1,025.95",-2.90%
2022-09,909.32,-11.37%
2022-10,888.99,-2.24%
2022-11,945.74,6.38%
2022-12,940.39,-0.57%
2023-01,941.97,0.17%
2023-02,949.98,0.85%
2023-03,972.06,2.32%
